ID,Category
1,1
2,1
3,1
4,6
5,6
6,1
7,10
8,1
9,2
10,1
11,10
12,10
13,3
14,1
15,1
16,1
17,1
18,2
19,2
20,1
21,1
22,10
23,1
24,1
25,1
26,1
27,1
28,16
29,5
30,1
31,2
32,1
33,10
34,16
35,1
36,1
37,1
38,1
39,2
40,1
41,10
42,4
43,4
44,1
45,3
46,1
47,10
48,1
49,2
50,16
51,2
52,10
53,1
54,16
55,10
56,1
57,1
58,1
59,1
60,6
61,2
62,1
63,1
64,16
65,1
66,2
67,1
68,1
69,1
70,3
71,1
72,1
73,1
74,1
75,2
76,10
77,14
78,1
79,1
80,1
81,1
82,1
83,1
84,2
85,1
86,1
87,1
88,9
89,16
90,1
91,1
92,6
93,1
94,16
95,1
96,1
97,16
98,1
99,14
100,1
101,5
102,1
103,1
104,1
105,1
106,2
107,6
108,1
109,1
110,4
111,1
112,10
113,1
114,1
115,1
116,3
117,1
118,6
119,2
120,1
121,1
122,1
123,1
124,2
125,1
126,10
127,1
128,16
129,1
130,1
131,3
132,4
133,1
134,3
135,2
136,1
137,1
138,10
139,1
140,1
141,5
142,1
143,1
144,1
145,10
146,3
147,10
148,1
149,6
150,2
151,16
152,1
153,1
154,1
155,1
156,1
157,1
158,1
159,2
160,1
161,1
162,10
163,15
164,10
165,4
166,16
167,1
168,16
169,16
170,1
171,1
172,3
173,1
174,1
175,1
176,10
177,10
178,1
179,16
180,9
181,10
182,6
183,16
184,1
185,1
186,1
187,1
188,3
189,16
190,2
191,4
192,16
193,1
194,1
195,1
196,16
197,2
198,1
199,1
200,15
201,1
202,1
203,1
204,1
205,2
206,1
207,10
208,1
209,9
210,6
211,4
212,1
213,1
214,1
215,1
216,2
217,1
218,3
219,1
220,1
221,2
222,16
223,1
224,1
225,1
226,1
