ID,Category
1,1
2,6
3,6
4,6
5,6
6,4
7,10
8,2
9,6
10,6
11,5
12,6
13,3
14,1
15,6
16,1
17,6
18,6
19,9
20,4
21,6
22,5
23,6
24,10
25,16
26,1
27,16
28,2
29,5
30,4
31,16
32,6
33,6
34,16
35,6
36,6
37,2
38,6
39,10
40,6
41,16
42,10
43,2
44,10
45,16
46,5
47,6
48,6
49,6
50,16
51,1
52,16
53,6
54,10
55,5
56,6
57,10
58,3
59,4
60,6
61,4
62,6
63,6
64,6
65,6
66,3
67,6
68,5
69,5
70,5
71,6
72,1
73,6
74,1
75,16
76,16
77,6
78,6
79,6
80,4
81,4
82,6
83,10
84,9
85,10
86,10
87,6
88,3
89,6
90,6
91,6
92,6
93,1
94,6
95,16
96,6
97,2
98,6
99,2
100,5
101,1
102,6
103,2
104,6
105,16
106,16
107,6
108,10
109,4
110,16
111,6
112,10
113,6
114,6
115,1
116,3
117,5
118,16
119,6
120,5
121,6
122,6
123,6
124,10
125,6
126,6
127,10
128,16
129,2
130,6
131,1
132,4
133,6
134,2
135,2
136,2
137,6
138,2
139,6
140,5
141,10
142,6
143,6
144,1
145,10
146,16
147,1
148,6
149,6
150,16
151,6
152,4
153,4
154,6
155,10
156,5
157,2
158,4
159,10
160,5
161,4
162,5
163,1
164,2
165,1
166,2
167,6
168,16
169,16
170,16
171,10
172,3
173,6
174,4
175,16
176,10
177,10
178,6
179,16
180,1
181,6
182,6
183,10
184,6
185,16
186,6
187,10
188,3
189,2
190,4
191,5
192,9
193,5
194,2
195,16
196,1
197,16
198,5
199,16
200,6
201,5
202,5
203,6
204,10
205,4
206,10
207,10
208,1
209,9
210,2
211,2
212,4
213,2
214,10
215,1
216,16
217,6
218,3
219,6
220,6
221,4
222,4
223,4
224,6
225,6
226,6
