ID,Category
1,4
2,1
3,1
4,1
5,1
6,1
7,1
8,2
9,1
10,1
11,1
12,1
13,3
14,1
15,10
16,1
17,1
18,2
19,1
20,1
21,1
22,1
23,2
24,1
25,5
26,1
27,1
28,1
29,1
30,6
31,2
32,1
33,10
34,1
35,1
36,1
37,1
38,1
39,10
40,1
41,1
42,4
43,1
44,1
45,3
46,1
47,10
48,1
49,2
50,1
51,2
52,10
53,1
54,10
55,6
56,6
57,1
58,1
59,1
60,6
61,1
62,1
63,1
64,10
65,1
66,1
67,1
68,1
69,1
70,5
71,1
72,6
73,1
74,1
75,2
76,1
77,6
78,1
79,10
80,1
81,1
82,5
83,1
84,1
85,1
86,1
87,1
88,9
89,1
90,1
91,1
92,1
93,1
94,1
95,1
96,10
97,6
98,1
99,1
100,2
101,5
102,1
103,1
104,1
105,2
106,4
107,6
108,6
109,1
110,4
111,1
112,10
113,1
114,1
115,1
116,3
117,1
118,1
119,2
120,1
121,1
122,2
123,6
124,2
125,1
126,10
127,1
128,1
129,1
130,1
131,3
132,4
133,10
134,3
135,9
136,1
137,1
138,1
139,1
140,1
141,1
142,1
143,1
144,5
145,10
146,3
147,10
148,1
149,6
150,2
151,1
152,6
153,1
154,1
155,10
156,1
157,1
158,1
159,4
160,1
161,1
162,1
163,4
164,10
165,1
166,16
167,1
168,1
169,1
170,2
171,1
172,3
173,1
174,1
175,1
176,10
177,10
178,1
179,10
180,9
181,1
182,1
183,10
184,1
185,1
186,1
187,1
188,3
189,1
190,4
191,1
192,1
193,1
194,3
195,5
196,5
197,6
198,1
199,1
200,1
201,1
202,1
203,1
204,1
205,1
206,1
207,10
208,1
209,9
210,1
211,1
212,1
213,1
214,6
215,1
216,10
217,1
218,3
219,1
220,1
221,4
222,6
223,1
224,1
225,1
226,1
