ID,Category
1,1
2,7
3,1
4,1
5,7
6,7
7,1
8,9
9,1
10,7
11,1
12,9
13,9
14,6
15,1
16,5
17,1
18,1
19,7
20,1
21,1
22,0
23,1
24,4
25,3
26,0
27,2
28,0
29,1
30,1
31,7
32,1
33,0
34,6
35,0
36,0
37,1
38,4
39,1
40,4
41,2
42,9
43,9
44,1
45,1
46,2
47,7
48,9
49,5
50,6
51,0
52,5
53,1
54,6
55,8
56,1
57,6
58,8
59,3
60,1
61,1
62,1
63,7
64,1
65,0
66,5
67,3
68,1
69,6
70,1
71,4
72,1
73,2
74,1
75,1
76,1
77,4
78,8
79,4
80,9
81,1
82,4
83,9
84,9
85,1
86,3
87,0
88,0
89,1
90,0
91,2
92,1
93,1
94,1
95,3
96,4
97,7
98,4
99,1
100,0
101,7
102,6
103,6
104,8
105,7
106,0
107,4
108,1
109,5
110,1
111,1
112,7
113,1
114,0
115,6
116,6
117,6
118,1
119,1
120,7
121,3
122,6
123,1
124,4
125,7
126,9
127,7
128,4
129,7
130,3
131,0
132,4
133,9
134,6
135,1
136,9
137,6
138,2
139,1
140,1
141,7
142,6
143,6
144,7
145,0
146,0
147,1
148,8
149,9
150,1
151,8
152,0
153,2
154,6
155,1
156,1
157,9
158,6
159,9
160,1
161,7
162,1
163,3
164,6
165,7
166,3
167,7
168,7
169,1
170,4
171,5
172,2
173,2
174,1
175,6
176,2
177,9
178,7
179,1
180,0
181,0
182,1
183,1
184,1
185,3
186,5
187,9
188,1
189,6
190,1
191,0
192,1
193,3
194,4
195,1
196,1
197,8
198,1
199,0
200,4
201,6
202,3
203,7
204,2
205,7
206,9
207,4
208,0
209,4
210,6
211,6
212,1
213,1
214,1
215,1
216,4
217,6
218,1
219,4
220,0
221,2
222,1
223,1
224,1
225,0
226,9
227,4
228,3
229,1
230,3
231,0
232,3
233,4
234,5
235,1
236,6
237,7
238,1
239,1
240,5
241,7
242,9
243,1
244,3
245,3
246,0
247,1
248,3
249,5
250,4
251,1
252,6
253,5
254,9
255,1
256,4
257,1
258,1
259,7
260,1
261,5
262,9
263,4
264,1
265,1
266,7
267,3
268,7
269,1
270,7
271,1
272,5
273,5
274,6
275,1
276,1
277,2
278,9
279,1
280,7
281,2
282,0
283,0
284,7
285,3
286,0
287,7
288,7
289,5
290,0
291,4
292,1
293,1
294,1
295,4
296,2
297,1
298,9
299,1
300,1
301,0
302,3
303,0
304,4
305,3
306,6
307,7
308,0
309,6
310,1
311,1
312,1
313,6
314,5
315,2
316,0
317,0
318,9
319,1
320,0
321,1
322,2
323,6
324,1
325,0
326,4
327,5
328,6
329,6
330,7
331,3
332,4
333,1
334,1
335,3
336,1
337,1
338,9
339,1
340,4
341,1
342,2
343,7
344,0
345,4
346,7
347,1
348,2
349,1
350,0
351,6
352,1
353,1
354,1
355,8
356,4
357,3
358,7
359,1
360,0
361,7
362,1
363,1
364,4
365,1
366,8
367,1
368,4
369,7
370,0
371,2
372,0
373,1
374,5
375,6
376,1
377,4
378,5
379,6
380,0
381,6
382,3
383,6
384,3
385,4
386,1
387,0
388,0
389,8
390,6
391,0
392,1
393,1
394,1
395,7
396,9
397,3
398,1
399,1
400,7
401,5
402,6
403,1
404,6
405,7
406,1
407,9
408,7
409,1
410,1
411,1
412,1
413,1
414,0
415,3
416,5
417,5
418,7
419,1
420,2
421,0
422,6
423,6
424,5
425,4
426,1
427,3
428,4
429,7
430,4
431,7
432,7
433,5
434,1
435,5
436,8
437,3
438,0
439,4
440,4
441,9
442,0
443,5
444,6
445,7
446,1
447,0
448,1
449,7
450,7
451,4
452,5
453,0
454,0
455,6
456,9
457,5
458,7
459,2
460,7
461,1
462,7
463,1
464,1
465,2
466,6
467,1
468,1
469,7
470,9
471,1
472,3
473,3
474,3
475,1
476,1
477,0
478,7
479,6
480,7
481,1
482,6
483,1
484,1
485,7
486,7
487,1
488,0
489,1
490,1
491,1
492,1
493,6
494,1
495,7
496,2
497,1
498,6
499,1
500,1
501,7
502,1
503,6
504,6
505,2
506,1
507,7
508,4
509,5
510,2
511,6
512,3
513,4
514,4
515,4
516,1
517,5
518,3
519,6
520,7
521,1
522,1
523,5
524,0
525,5
526,1
527,1
528,4
529,6
530,6
531,9
532,1
533,0
534,2
535,8
536,1
537,1
538,1
539,0
540,1
541,1
542,4
543,7
544,1
545,9
546,1
547,1
548,4
549,3
550,4
551,0
552,7
553,6
554,7
555,1
556,1
557,3
558,0
559,5
560,0
561,3
562,1
563,8
564,4
565,5
566,4
567,4
568,1
569,1
570,1
571,1
572,1
573,6
574,0
575,8
576,0
577,5
578,3
579,3
580,0
581,7
582,4
583,9
584,3
585,9
586,9
587,5
588,5
589,8
590,6
591,2
592,1
593,4
594,1
595,6
596,1
597,1
598,9
599,3
600,5
601,1
602,7
603,3
604,6
605,0
606,0
607,1
608,3
609,0
610,3
611,6
612,6
613,2
614,1
615,3
616,4
617,1
618,1
619,5
620,2
621,3
622,1
623,4
624,9
625,7
626,3
627,1
628,7
629,1
630,5
631,1
632,7
633,8
634,3
635,0
636,2
637,7
638,6
639,0
640,7
641,1
642,0
643,1
644,8
645,3
646,1
647,4
648,7
649,1
650,0
651,5
652,5
653,1
654,2
655,6
656,3
657,1
658,7
659,2
660,7
661,1
662,0
663,7
664,5
665,9
666,1
667,6
668,7
669,1
670,7
671,1
672,7
673,9
674,7
675,6
676,1
677,9
678,2
679,1
680,9
681,9
682,3
683,1
684,1
685,6
686,5
687,4
688,7
689,0
690,0
691,8
692,7
693,9
694,3
695,3
696,3
697,4
698,1
699,3
700,4
701,7
702,1
703,3
704,7
705,3
706,1
707,4
708,1
709,1
710,1
711,1
712,5
713,0
714,0
715,4
716,1
717,0
718,0
719,1
720,1
721,4
722,6
723,2
724,6
725,0
726,9
727,1
728,7
729,8
730,1
731,5
732,1
733,1
734,9
735,1
736,1
737,6
738,4
739,2
740,4
741,9
742,7
743,1
744,1
745,1
746,3
747,1
748,2
749,3
750,1
751,6
752,7
753,2
754,1
755,1
756,6
757,1
758,8
759,1
760,6
761,1
762,2
763,1
764,6
765,7
766,9
767,5
768,5
769,9
770,0
771,9
772,3
773,6
774,0
775,1
776,6
777,5
778,7
779,9
780,1
781,0
782,7
783,7
784,0
785,1
786,1
787,1
788,5
789,7
790,0
791,2
792,2
793,5
794,1
795,5
796,9
797,6
798,0
799,6
800,1
801,3
802,3
803,3
804,0
805,1
806,5
807,1
808,5
809,9
810,2
811,3
812,1
813,1
814,7
815,1
816,9
817,1
818,1
819,6
820,1
821,3
822,1
823,9
824,1
825,1
826,1
827,6
828,7
829,1
830,1
831,0
832,5
833,7
834,5
835,1
836,6
837,7
838,1
839,1
840,7
841,6
842,9
843,7
844,1
845,7
846,6
847,7
848,1
849,3
850,0
851,9
852,7
853,3
854,1
855,1
856,4
857,7
858,0
859,1
860,2
861,7
862,1
863,7
