ID,Category
1,1
2,7
3,1
4,1
5,7
6,7
7,1
8,9
9,1
10,7
11,5
12,9
13,8
14,6
15,1
16,5
17,4
18,1
19,7
20,1
21,8
22,0
23,1
24,9
25,3
26,0
27,4
28,0
29,5
30,3
31,9
32,2
33,0
34,6
35,0
36,0
37,5
38,4
39,8
40,4
41,2
42,9
43,9
44,2
45,8
46,2
47,7
48,9
49,5
50,1
51,0
52,8
53,2
54,6
55,8
56,5
57,6
58,8
59,3
60,3
61,8
62,1
63,7
64,1
65,5
66,5
67,3
68,2
69,6
70,1
71,4
72,1
73,2
74,4
75,4
76,8
77,4
78,8
79,4
80,9
81,8
82,4
83,9
84,4
85,4
86,3
87,0
88,0
89,8
90,2
91,2
92,5
93,2
94,2
95,3
96,4
97,7
98,4
99,5
100,0
101,9
102,6
103,5
104,8
105,8
106,0
107,4
108,1
109,3
110,1
111,1
112,7
113,5
114,0
115,6
116,6
117,6
118,4
119,1
120,7
121,3
122,6
123,1
124,4
125,7
126,9
127,9
128,4
129,7
130,3
131,0
132,4
133,9
134,5
135,1
136,7
137,6
138,2
139,2
140,8
141,7
142,6
143,6
144,8
145,0
146,0
147,1
148,8
149,9
150,2
151,8
152,2
153,3
154,6
155,2
156,1
157,9
158,6
159,4
160,9
161,9
162,6
163,3
164,6
165,9
166,3
167,9
168,7
169,8
170,4
171,5
172,4
173,2
174,3
175,6
176,2
177,9
178,7
179,4
180,0
181,0
182,6
183,1
184,1
185,3
186,5
187,9
188,8
189,6
190,9
191,1
192,8
193,3
194,4
195,4
196,2
197,8
198,1
199,0
200,8
201,6
202,8
203,7
204,2
205,7
206,9
207,4
208,0
209,4
210,6
211,6
212,1
213,3
214,6
215,1
216,4
217,6
218,8
219,4
220,0
221,2
222,8
223,1
224,1
225,0
226,9
227,4
228,3
229,8
230,3
231,0
232,5
233,4
234,5
235,1
236,6
237,7
238,1
239,8
240,5
241,7
242,9
243,1
244,2
245,3
246,0
247,1
248,3
249,5
250,9
251,1
252,6
253,5
254,3
255,2
256,4
257,8
258,8
259,7
260,3
261,5
262,9
263,4
264,2
265,1
266,7
267,3
268,4
269,1
270,7
271,4
272,8
273,8
274,6
275,3
276,1
277,2
278,9
279,3
280,7
281,2
282,0
283,2
284,7
285,3
286,0
287,7
288,7
289,5
290,0
291,4
292,1
293,1
294,5
295,4
296,2
297,1
298,9
299,1
300,9
301,0
302,3
303,0
304,9
305,3
306,8
307,9
308,0
309,6
310,3
311,2
312,3
313,6
314,5
315,2
316,0
317,0
318,9
319,1
320,0
321,1
322,2
323,6
324,1
325,0
326,4
327,5
328,6
329,6
330,7
331,5
332,5
333,1
334,9
335,3
336,6
337,5
338,9
339,8
340,9
341,8
342,3
343,7
344,0
345,4
346,7
347,9
348,2
349,3
350,0
351,6
352,1
353,1
354,1
355,8
356,4
357,3
358,7
359,3
360,0
361,7
362,1
363,4
364,4
365,3
366,8
367,2
368,9
369,7
370,0
371,2
372,0
373,2
374,6
375,6
376,1
377,4
378,8
379,6
380,0
381,6
382,3
383,6
384,3
385,4
386,1
387,0
388,0
389,8
390,6
391,0
392,4
393,5
394,1
395,7
396,9
397,3
398,1
399,5
400,7
401,5
402,6
403,4
404,6
405,7
406,3
407,9
408,7
409,3
410,1
411,3
412,2
413,4
414,0
415,3
416,5
417,5
418,9
419,1
420,2
421,0
422,6
423,6
424,5
425,4
426,1
427,3
428,4
429,7
430,4
431,4
432,7
433,5
434,2
435,6
436,8
437,3
438,0
439,4
440,4
441,9
442,0
443,8
444,6
445,7
446,1
447,0
448,1
449,7
450,9
451,8
452,5
453,0
454,2
455,6
456,9
457,5
458,9
459,2
460,4
461,1
462,9
463,1
464,6
465,2
466,6
467,1
468,4
469,9
470,4
471,2
472,3
473,3
474,3
475,1
476,1
477,0
478,7
479,6
480,7
481,1
482,6
483,6
484,8
485,9
486,7
487,1
488,0
489,6
490,8
491,1
492,2
493,6
494,3
495,9
496,2
497,1
498,6
499,8
500,9
501,8
502,1
503,6
504,6
505,2
506,1
507,7
508,4
509,0
510,2
511,6
512,3
513,4
514,9
515,9
516,1
517,5
518,8
519,6
520,7
521,1
522,1
523,8
524,5
525,5
526,1
527,8
528,4
529,6
530,6
531,9
532,5
533,0
534,2
535,8
536,8
537,3
538,4
539,0
540,2
541,1
542,2
543,7
544,1
545,9
546,1
547,1
548,4
549,3
550,8
551,0
552,7
553,6
554,7
555,8
556,2
557,8
558,0
559,5
560,0
561,3
562,1
563,8
564,4
565,3
566,4
567,4
568,1
569,1
570,5
571,1
572,6
573,6
574,0
575,8
576,0
577,5
578,3
579,3
580,0
581,7
582,9
583,4
584,8
585,9
586,9
587,5
588,5
589,8
590,6
591,4
592,1
593,4
594,9
595,6
596,6
597,5
598,9
599,3
600,5
601,5
602,7
603,5
604,0
605,0
606,0
607,5
608,3
609,0
610,3
611,6
612,6
613,2
614,5
615,3
616,4
617,4
618,1
619,5
620,8
621,3
622,7
623,4
624,4
625,7
626,3
627,1
628,9
629,7
630,5
631,1
632,9
633,8
634,2
635,0
636,2
637,7
638,5
639,0
640,7
641,9
642,0
643,8
644,8
645,8
646,5
647,4
648,7
649,1
650,0
651,5
652,5
653,3
654,2
655,6
656,3
657,7
658,3
659,2
660,7
661,1
662,0
663,7
664,8
665,9
666,8
667,0
668,7
669,5
670,7
671,5
672,7
673,9
674,7
675,6
676,1
677,4
678,2
679,3
680,4
681,9
682,3
683,7
684,6
685,6
686,5
687,4
688,7
689,0
690,0
691,8
692,7
693,9
694,3
695,3
696,3
697,4
698,4
699,3
700,9
701,7
702,8
703,3
704,7
705,3
706,2
707,4
708,8
709,8
710,8
711,1
712,5
713,0
714,0
715,4
716,1
717,9
718,0
719,1
720,4
721,4
722,6
723,2
724,6
725,0
726,9
727,8
728,7
729,8
730,1
731,0
732,4
733,1
734,9
735,8
736,3
737,6
738,4
739,2
740,4
741,9
742,7
743,5
744,0
745,8
746,3
747,1
748,2
749,3
750,1
751,6
752,4
753,2
754,5
755,8
756,6
757,1
758,8
759,3
760,6
761,1
762,2
763,8
764,6
765,3
766,9
767,8
768,5
769,9
770,0
771,9
772,3
773,6
774,0
775,1
776,6
777,8
778,9
779,4
780,1
781,0
782,7
783,7
784,0
785,4
786,2
787,1
788,5
789,7
790,8
791,2
792,2
793,5
794,8
795,5
796,9
797,6
798,0
799,6
800,2
801,3
802,3
803,3
804,8
805,1
806,5
807,1
808,5
809,9
810,2
811,5
812,1
813,8
814,3
815,2
816,9
817,1
818,1
819,6
820,1
821,8
822,1
823,9
824,4
825,1
826,9
827,6
828,4
829,4
830,2
831,0
832,8
833,7
834,5
835,8
836,6
837,7
838,5
839,1
840,7
841,6
842,9
843,7
844,1
845,9
846,6
847,7
848,1
849,3
850,0
851,9
852,7
853,3
854,4
855,6
856,4
857,7
858,7
859,1
860,2
861,7
862,1
863,7
