ID,Category
1,8
2,7
3,1
4,2
5,7
6,7
7,1
8,9
9,1
10,7
11,5
12,9
13,8
14,6
15,8
16,5
17,4
18,1
19,7
20,1
21,8
22,0
23,1
24,4
25,3
26,0
27,6
28,0
29,5
30,3
31,9
32,2
33,0
34,6
35,0
36,0
37,5
38,8
39,8
40,4
41,2
42,5
43,9
44,2
45,8
46,2
47,7
48,9
49,5
50,6
51,0
52,5
53,2
54,6
55,8
56,8
57,6
58,8
59,3
60,3
61,8
62,1
63,7
64,1
65,0
66,5
67,3
68,9
69,6
70,1
71,4
72,1
73,2
74,4
75,0
76,8
77,4
78,8
79,4
80,9
81,8
82,4
83,9
84,9
85,9
86,3
87,0
88,0
89,8
90,2
91,2
92,5
93,2
94,2
95,3
96,4
97,7
98,4
99,5
100,0
101,7
102,6
103,5
104,8
105,5
106,0
107,4
108,1
109,8
110,1
111,1
112,7
113,9
114,0
115,6
116,6
117,6
118,9
119,1
120,7
121,3
122,6
123,1
124,4
125,7
126,3
127,9
128,4
129,7
130,3
131,0
132,4
133,9
134,6
135,1
136,7
137,6
138,2
139,4
140,8
141,7
142,6
143,6
144,7
145,0
146,0
147,1
148,8
149,8
150,2
151,8
152,8
153,2
154,6
155,2
156,8
157,9
158,6
159,4
160,5
161,9
162,2
163,2
164,6
165,9
166,5
167,9
168,7
169,8
170,4
171,5
172,2
173,2
174,3
175,6
176,0
177,4
178,7
179,4
180,0
181,0
182,2
183,1
184,1
185,3
186,5
187,9
188,8
189,6
190,9
191,0
192,8
193,3
194,4
195,4
196,8
197,8
198,2
199,0
200,8
201,6
202,3
203,7
204,2
205,7
206,9
207,4
208,0
209,2
210,6
211,6
212,1
213,8
214,6
215,1
216,4
217,6
218,8
219,4
220,0
221,2
222,4
223,1
224,6
225,0
226,9
227,4
228,3
229,8
230,3
231,0
232,2
233,4
234,5
235,1
236,6
237,7
238,8
239,5
240,5
241,7
242,7
243,1
244,3
245,5
246,0
247,1
248,3
249,5
250,4
251,1
252,6
253,5
254,3
255,0
256,4
257,8
258,8
259,7
260,3
261,5
262,9
263,4
264,2
265,9
266,7
267,3
268,5
269,2
270,7
271,8
272,8
273,8
274,6
275,3
276,1
277,2
278,9
279,3
280,7
281,2
282,0
283,2
284,7
285,3
286,0
287,7
288,7
289,8
290,0
291,4
292,8
293,2
294,5
295,4
296,2
297,1
298,9
299,1
300,4
301,0
302,3
303,0
304,4
305,3
306,0
307,9
308,0
309,6
310,3
311,2
312,3
313,6
314,3
315,2
316,0
317,0
318,4
319,1
320,0
321,1
322,2
323,8
324,1
325,0
326,4
327,5
328,8
329,6
330,7
331,5
332,5
333,1
334,7
