ID,Category
1,1
2,9
3,1
4,4
5,9
6,9
7,1
8,9
9,1
10,9
11,0
12,9
13,9
14,6
15,1
16,8
17,5
18,1
19,9
20,1
21,0
22,0
23,1
24,9
25,9
26,0
27,6
28,0
29,1
30,9
31,9
32,3
33,0
34,6
35,0
36,0
37,1
38,8
39,1
40,9
41,2
42,9
43,9
44,0
45,8
46,6
47,9
48,9
49,5
50,6
51,0
52,9
53,6
54,6
55,8
56,9
57,6
58,8
59,3
60,0
61,8
62,1
63,7
64,1
65,0
66,5
67,1
68,9
69,1
70,1
71,9
72,1
73,0
74,5
75,5
76,9
77,9
78,8
79,9
80,9
81,8
82,4
83,9
84,9
85,1
86,3
87,0
88,0
89,1
90,0
91,6
92,0
93,6
94,2
95,3
96,9
97,7
98,9
99,8
100,0
101,9
102,6
103,6
104,9
105,8
106,0
107,9
108,1
109,9
110,1
111,1
112,9
113,1
114,0
115,6
116,6
117,6
118,9
119,1
120,7
121,0
122,6
123,1
124,9
125,9
126,9
127,9
128,9
129,7
130,3
131,0
132,9
133,9
134,0
135,1
136,9
137,6
138,0
139,1
140,1
141,7
142,6
143,6
144,9
145,0
146,0
147,1
148,8
149,9
150,2
151,1
152,8
153,8
154,6
155,1
156,1
157,9
158,6
159,9
160,9
161,9
162,6
163,3
164,6
165,9
166,3
167,9
168,9
169,1
170,9
171,0
172,6
173,3
174,3
175,6
176,0
177,9
178,7
179,8
180,0
181,0
182,1
183,1
184,1
185,0
186,0
187,9
188,8
189,6
190,9
191,2
192,1
193,3
194,0
195,9
196,8
197,8
198,1
199,0
200,8
201,6
202,9
203,7
204,2
205,7
206,7
207,8
208,0
209,9
210,6
211,6
212,1
213,8
214,6
215,1
216,4
217,6
218,1
219,5
220,0
221,3
222,0
223,1
224,6
225,0
226,9
227,9
228,0
229,1
230,3
231,9
232,8
233,8
234,9
235,1
236,6
237,9
238,3
239,1
240,0
241,7
242,1
243,1
244,6
245,3
246,0
247,1
248,3
249,9
250,9
251,1
252,6
253,9
254,3
255,0
256,6
257,1
258,6
259,7
260,8
261,9
262,9
263,8
264,3
265,1
266,7
267,0
268,8
269,8
270,9
271,9
272,0
273,8
274,6
275,8
276,1
277,5
278,9
279,3
280,7
281,8
282,0
283,0
284,9
285,3
286,0
287,9
288,7
289,3
290,0
291,9
292,8
293,1
294,0
295,9
296,6
297,1
298,9
299,1
300,9
301,0
302,3
303,0
304,9
305,8
306,9
307,8
308,0
309,6
310,1
311,3
312,3
313,6
314,0
315,6
316,0
317,0
318,9
319,1
320,0
321,1
322,2
323,0
324,1
325,0
326,9
327,8
328,6
329,6
330,7
331,8
332,8
333,1
334,7
335,3
336,6
337,8
338,9
339,9
340,9
341,8
342,3
343,7
344,0
345,6
346,7
347,9
348,6
349,9
350,0
351,0
352,1
353,1
354,1
355,8
356,8
357,9
358,9
359,1
360,0
361,9
362,1
363,9
