ID,Category
1,26
2,45
3,38
4,10
5,56
6,81
7,25
8,60
9,2
10,39
11,63
12,47
13,55
14,51
15,91
16,75
17,17
18,27
19,81
20,30
21,12
22,76
23,34
24,45
25,83
26,73
27,50
28,43
29,21
30,82
31,33
32,73
33,21
34,4
35,95
36,71
37,29
38,86
39,19
40,86
41,8
42,3
43,28
44,36
45,19
46,94
47,5
48,27
49,0
50,53
51,41
52,18
53,48
54,84
55,40
56,79
57,78
58,40
59,60
60,76
61,69
62,58
63,95
64,58
65,52
66,76
67,36
68,52
69,79
70,66
71,88
72,8
73,60
74,80
75,74
76,46
77,10
78,31
79,11
80,68
81,19
82,30
83,28
84,28
85,55
86,93
87,54
88,78
89,94
90,18
91,11
92,1
93,5
94,23
95,20
96,43
97,95
98,63
99,90
100,30
101,14
102,11
103,24
104,43
105,63
106,58
107,64
108,41
109,87
110,21
111,37
112,5
113,23
114,12
115,44
116,46
117,46
118,84
119,48
120,34
121,64
122,79
123,53
124,87
125,2
126,57
127,51
128,29
129,6
130,3
131,62
132,15
133,45
134,80
135,39
136,53
137,47
138,64
139,2
140,91
141,12
142,15
143,16
144,27
145,81
146,44
147,39
148,71
149,82
150,64
151,28
152,81
153,17
154,89
155,6
156,55
157,6
158,72
159,69
160,34
161,17
162,34
163,84
164,19
165,30
166,78
167,71
168,74
169,24
170,21
171,90
172,7
173,38
174,61
175,3
176,74
177,10
178,9
179,53
180,53
181,87
182,46
183,25
184,66
185,65
186,59
187,50
188,72
189,10
190,33
191,15
192,65
193,14
194,67
195,18
196,80
197,31
198,34
199,54
200,73
201,66
202,56
203,63
204,73
205,89
206,88
207,34
208,19
209,75
210,72
211,5
212,2
213,76
214,21
215,3
216,28
217,76
218,66
219,46
220,2
221,39
222,26
223,4
224,65
225,7
226,20
227,78
228,3
229,51
230,3
231,0
232,4
233,72
234,90
235,65
236,86
237,91
238,85
239,80
240,52
241,39
242,28
243,34
244,30
245,65
246,52
247,28
248,88
249,46
250,22
251,5
252,4
253,43
254,7
255,7
256,3
257,33
258,62
259,10
260,13
261,24
262,44
263,25
264,58
265,54
266,60
267,71
268,47
269,24
270,49
271,67
272,94
273,81
274,5
275,83
276,67
277,51
278,58
279,68
280,29
281,4
282,57
283,17
284,68
285,86
286,6
287,86
288,27
289,91
290,50
291,44
292,13
293,34
294,53
295,79
296,17
297,51
298,28
299,72
300,89
301,34
302,74
303,55
304,9
305,17
306,68
307,77
308,58
309,72
310,21
311,0
312,78
313,37
314,47
315,28
316,36
317,64
318,21
319,23
320,69
321,62
322,57
323,72
324,48
325,4
326,38
327,1
328,40
329,6
330,56
331,4
332,54
333,1
334,89
335,26
336,47
337,35
338,6
339,92
340,89
341,26
342,1
343,60
344,6
345,24
346,92
347,6
348,29
349,2
350,77
351,75
352,53
353,91
354,43
355,71
356,47
357,43
358,13
359,94
360,36
361,83
362,15
363,55
364,69
365,92
366,80
367,67
368,26
369,22
370,44
371,65
372,1
373,17
374,2
375,46
376,51
377,93
378,14
379,60
380,59
381,45
382,63
383,5
384,9
385,25
386,37
387,61
388,73
389,22
390,62
391,6
392,14
393,12
394,48
395,51
396,71
397,4
398,84
399,20
400,8
401,86
402,73
403,88
404,28
405,14
406,35
407,58
408,26
409,93
410,57
411,75
412,18
413,30
414,16
415,5
416,89
417,25
418,49
