ID,Category
1,26
2,45
3,67
4,55
5,56
6,81
7,68
8,60
9,60
10,48
11,63
12,47
13,67
14,51
15,91
16,75
17,36
18,27
19,75
20,30
21,12
22,67
23,31
24,45
25,83
26,73
27,67
28,59
29,50
30,54
31,93
32,73
33,20
34,37
35,95
36,58
37,81
38,86
39,19
40,86
41,8
42,37
43,63
44,79
45,12
46,94
47,79
48,37
49,0
50,33
51,41
52,18
53,37
54,3
55,40
56,79
57,90
58,40
59,60
60,76
61,69
62,58
63,95
64,60
65,52
66,76
67,17
68,52
69,79
70,66
71,91
72,8
73,18
74,80
75,1
76,46
77,79
78,31
79,11
80,68
81,19
82,81
83,68
84,28
85,67
86,38
87,76
88,1
89,1
90,18
91,11
92,49
93,59
94,23
95,51
96,43
97,64
98,63
99,90
100,30
101,24
102,11
103,24
104,79
105,63
106,58
107,64
108,41
109,87
110,21
111,37
112,5
113,23
114,12
115,44
116,67
117,46
118,15
119,31
120,77
121,64
122,67
123,53
124,87
125,2
126,57
127,1
128,29
129,90
130,29
131,62
132,15
133,45
134,92
135,28
136,95
137,49
138,42
139,2
140,91
141,12
142,15
143,16
144,27
145,81
146,44
147,44
148,20
149,82
150,64
151,25
152,81
153,36
154,89
155,24
156,55
157,9
158,74
159,67
160,37
161,36
162,34
163,84
164,51
165,30
166,56
167,58
168,74
169,14
170,36
171,47
172,76
173,38
174,61
175,34
176,74
177,10
178,16
179,93
180,53
181,11
182,46
183,27
184,66
185,84
186,67
187,50
188,72
189,10
190,93
191,51
192,81
193,87
194,79
195,18
196,80
197,31
198,31
199,76
200,20
201,67
202,14
203,63
204,73
205,89
206,14
207,34
208,51
209,75
210,72
211,67
212,16
213,76
214,1
215,48
216,54
217,76
218,76
219,46
220,52
221,39
222,75
223,4
224,65
225,7
226,20
227,90
228,34
229,51
230,3
231,67
232,48
233,1
234,90
235,65
236,86
237,91
238,85
239,80
240,52
241,39
242,27
243,34
244,81
245,84
246,9
247,28
248,88
249,46
250,22
251,5
252,4
253,10
254,82
255,63
256,77
257,33
258,62
259,10
260,13
261,24
262,44
263,54
264,9
265,54
266,60
267,71
268,33
269,49
270,49
271,67
272,95
273,81
274,67
275,87
276,67
277,51
278,60
279,68
280,29
281,4
282,57
283,17
284,68
285,86
286,1
287,86
288,27
289,91
290,67
291,25
292,41
293,3
294,53
295,79
296,17
297,13
298,28
299,72
300,89
301,3
302,74
303,55
304,16
305,17
306,68
307,34
308,58
309,1
310,21
311,0
312,24
313,37
314,49
315,54
316,79
317,38
318,88
319,67
320,69
321,76
322,57
323,74
324,31
325,4
326,42
327,87
328,40
329,78
330,87
331,31
332,54
333,80
334,9
335,26
336,47
337,35
338,78
339,92
340,89
341,26
342,38
343,16
344,87
345,49
346,92
347,24
348,29
349,9
350,77
351,57
352,33
353,91
354,67
355,58
356,38
357,43
358,13
359,11
360,66
361,88
362,20
363,55
364,49
365,92
366,87
367,67
368,69
369,41
370,82
371,65
372,70
373,17
374,52
375,54
376,51
377,92
378,87
379,60
380,79
381,45
382,63
383,67
384,16
385,25
386,37
387,54
388,73
389,41
390,62
391,88
392,14
393,37
394,48
395,1
396,71
397,31
398,51
399,20
400,8
401,38
402,73
403,14
404,28
405,14
406,35
407,58
408,26
409,42
410,57
411,75
412,18
413,65
414,16
415,5
416,89
417,68
418,95
