ID,Category
1,26
2,45
3,38
4,10
5,56
6,81
7,25
8,18
9,60
10,27
11,63
12,47
13,10
14,51
15,91
16,75
17,36
18,27
19,81
20,30
21,12
22,76
23,48
24,45
25,83
26,73
27,50
28,43
29,50
30,82
31,33
32,73
33,21
34,3
35,95
36,71
37,29
38,86
39,19
40,86
41,8
42,37
43,45
44,79
45,15
46,94
47,5
48,35
49,0
50,53
51,41
52,18
53,48
54,84
55,40
56,79
57,78
58,40
59,60
60,76
61,69
62,58
63,95
64,60
65,52
66,76
67,36
68,52
69,79
70,66
71,91
72,69
73,18
74,80
75,74
76,46
77,43
78,31
79,26
80,68
81,19
82,30
83,39
84,28
85,55
86,93
87,61
88,1
89,94
90,18
91,11
92,49
93,5
94,23
95,20
96,43
97,95
98,63
99,90
100,30
101,24
102,11
103,24
104,59
105,63
106,58
107,64
108,41
109,83
110,21
111,37
112,5
113,23
114,12
115,44
116,46
117,46
118,84
119,48
120,77
121,64
122,79
123,53
124,87
125,2
126,57
127,51
128,29
129,6
130,84
131,62
132,15
133,45
134,94
135,39
136,95
137,47
138,42
139,9
140,91
141,12
142,15
143,16
144,27
145,81
146,44
147,35
148,20
149,82
150,64
151,28
152,65
153,36
154,89
155,14
156,55
157,14
158,72
159,69
160,37
161,17
162,34
163,84
164,19
165,30
166,56
167,71
168,74
169,87
170,21
171,90
172,7
173,38
174,61
175,3
176,74
177,55
178,9
179,95
180,93
181,11
182,46
183,27
184,66
185,65
186,59
187,50
188,72
189,10
190,33
191,51
192,81
193,87
194,67
195,18
196,80
197,31
198,48
199,61
200,73
201,66
202,56
203,63
204,73
205,89
206,88
207,34
208,19
209,75
210,72
211,59
212,16
213,76
214,11
215,4
216,28
217,76
218,79
219,46
220,9
221,39
222,26
223,4
224,65
225,7
226,20
227,90
228,37
229,51
230,3
231,0
232,48
233,72
234,90
235,65
236,86
237,91
238,85
239,80
240,52
241,39
242,28
243,34
244,30
245,84
246,52
247,28
248,88
249,46
250,22
251,5
252,4
253,43
254,7
255,7
256,77
257,33
258,62
259,0
260,13
261,24
262,44
263,25
264,58
265,54
266,60
267,71
268,93
269,56
270,49
271,67
272,94
273,81
274,59
275,83
276,67
277,51
278,60
279,68
280,29
281,4
282,57
283,17
284,68
285,86
286,56
287,86
288,27
289,91
290,50
291,44
292,13
293,34
294,53
295,79
296,17
297,13
298,28
299,72
300,89
301,34
302,74
303,55
304,16
305,17
306,68
307,34
308,58
309,72
310,21
311,0
312,6
313,34
314,47
315,54
316,79
317,64
318,21
319,23
320,69
321,62
322,57
323,72
324,48
325,4
326,38
327,1
328,88
329,6
330,83
331,4
332,54
333,80
334,89
335,26
336,47
337,35
338,78
339,92
340,89
341,26
342,49
343,60
344,1
345,90
346,92
347,24
348,29
349,2
350,77
351,57
352,33
353,91
354,0
355,71
356,38
357,43
358,13
359,11
360,66
361,80
362,15
363,55
364,8
365,92
366,1
367,67
368,26
369,22
370,54
371,65
372,11
373,17
374,52
375,46
376,51
377,93
378,83
379,60
380,59
381,45
382,63
383,5
384,2
385,39
386,37
387,61
388,73
389,22
390,62
391,6
392,14
393,65
394,48
395,57
396,71
397,4
398,84
399,51
400,8
401,86
402,73
403,88
404,28
405,14
406,35
407,58
408,26
409,93
410,57
411,75
412,60
413,30
414,16
415,5
416,89
417,68
418,49
