ID,Target
1.0,8.9
2.0,2.2
3.0,7.1
4.0,2.1
5.0,5.2
6.0,23.1
7.0,5.0
8.0,3.7
9.0,23.1
10.0,19.6
11.0,5.4
12.0,58.3
13.0,1.6
14.0,17.6
15.0,4.6
16.0,0.9
17.0,3.7
18.0,5.7
19.0,13.2
20.0,21.1
21.0,3.9
22.0,7.1
23.0,35.6
24.0,2.1
25.0,1.4
26.0,2.1
27.0,0.7
28.0,14.1
29.0,8.9
30.0,14.3
31.0,0.2
32.0,19.7
33.0,11.6
34.0,16.9
35.0,35.6
36.0,6.1
37.0,5.7
38.0,1.9
39.0,2.2
40.0,1.8
41.0,3.8
42.0,46.1
43.0,7.4
44.0,6.7
45.0,2.1
46.0,3.8
47.0,14.8
48.0,35.6
49.0,4.6
50.0,11.2
51.0,4.1
52.0,5.4
53.0,0.0
54.0,3.6
55.0,0.7
56.0,26.3
57.0,13.9
58.0,7.5
59.0,35.6
60.0,6.9
61.0,40.7
62.0,9.1
63.0,2.0
64.0,5.7
65.0,0.3
66.0,19.6
67.0,3.8
68.0,4.1
69.0,1.4
70.0,4.3
71.0,8.3
72.0,6.4
73.0,0.7
74.0,2.1
75.0,2.5
76.0,13.8
77.0,29.1
78.0,5.7
79.0,2.8
80.0,5.2
81.0,4.5
82.0,0.0
83.0,1.2
84.0,2.9
85.0,9.5
86.0,22.6
87.0,150.8
88.0,10.5
89.0,2.2
90.0,0.7
91.0,0.7
92.0,0.5
93.0,13.1
94.0,2.2
95.0,0.8
96.0,9.4
97.0,2.3
98.0,3.8
99.0,14.1
100.0,14.1
101.0,189.9
102.0,2.0
103.0,5.7
104.0,41.7
105.0,8.7
106.0,3.0
107.0,4.1
108.0,24.4
109.0,3.8
110.0,3.0
111.0,2.2
112.0,14.0
113.0,12.2
114.0,8.2
115.0,3.3
116.0,5.7
117.0,3.0
118.0,2.7
119.0,54.2
120.0,6.9
121.0,10.5
122.0,19.7
123.0,3.8
124.0,0.2
125.0,2.2
126.0,20.8
127.0,2.8
128.0,1.6
129.0,2.0
130.0,12.0
131.0,3.8
132.0,7.2
133.0,14.0
134.0,3.0
135.0,8.9
136.0,1.8
137.0,3.8
138.0,1.2
139.0,25.4
140.0,156.4
141.0,3.8
142.0,2.8
143.0,5.4
144.0,19.6
145.0,6.1
146.0,2.0
147.0,7.4
148.0,3.8
149.0,13.2
150.0,4.6
151.0,8.4
152.0,13.5
153.0,0.3
154.0,0.7
155.0,3.0
156.0,2.2
157.0,2.3
158.0,40.7
159.0,2.6
160.0,9.5
161.0,3.3
162.0,4.2
163.0,10.2
164.0,5.7
165.0,2.3
166.0,15.0
167.0,1.6
168.0,0.7
169.0,2.2
170.0,1.2
171.0,2.8
172.0,26.3
173.0,2.7
174.0,3.8
175.0,14.4
176.0,0.0
177.0,1.8
178.0,1.2
179.0,2.8
180.0,13.5
181.0,5.8
182.0,5.9
183.0,16.3
184.0,7.7
185.0,1.8
186.0,5.0
187.0,7.4
188.0,7.7
189.0,6.9
190.0,1.6
191.0,14.1
192.0,10.2
193.0,19.4
194.0,0.7
195.0,20.8
196.0,2.6
197.0,6.1
198.0,14.0
199.0,1.7
200.0,16.3
201.0,5.7
202.0,1.5
203.0,8.7
204.0,4.1
205.0,12.6
206.0,8.2
207.0,1.4
