ID,Target
1.0,6.3
2.0,12.9
3.0,12.0
4.0,11.1
5.0,21.8
6.0,20.5
7.0,5.7
8.0,-5.6
9.0,13.7
10.0,19.0
11.0,21.1
12.0,20.5
13.0,20.0
14.0,9.3
15.0,16.9
16.0,19.0
17.0,0.1
18.0,10.6
19.0,8.5
20.0,17.2
21.0,18.5
22.0,5.5
23.0,13.4
24.0,23.0
25.0,6.7
26.0,24.3
27.0,14.9
28.0,22.7
29.0,9.0
30.0,20.9
31.0,5.6
32.0,15.4
33.0,21.3
34.0,19.6
35.0,19.6
36.0,15.2
37.0,17.7
38.0,15.0
39.0,14.5
40.0,5.7
41.0,22.0
42.0,15.9
43.0,21.0
44.0,18.8
45.0,20.8
46.0,16.9
47.0,13.5
48.0,17.6
49.0,18.9
50.0,26.7
51.0,18.8
52.0,28.3
53.0,17.9
54.0,-1.7
55.0,14.9
56.0,19.7
57.0,11.7
58.0,11.7
59.0,12.7
60.0,17.5
61.0,23.1
62.0,29.7
63.0,17.3
64.0,24.2
65.0,14.3
66.0,16.0
67.0,7.2
68.0,16.2
69.0,10.1
70.0,22.7
71.0,9.1
72.0,1.2
73.0,16.3
74.0,16.8
75.0,18.5
76.0,15.2
77.0,25.3
78.0,16.3
79.0,-5.0
80.0,23.3
81.0,21.5
82.0,7.7
83.0,11.6
84.0,16.1
85.0,8.9
86.0,12.0
87.0,24.5
88.0,8.1
89.0,14.6
90.0,14.1
91.0,-0.3
92.0,-1.7
93.0,5.1
94.0,13.7
95.0,20.3
96.0,19.2
97.0,15.8
98.0,20.9
99.0,16.1
100.0,4.6
101.0,31.8
102.0,23.5
103.0,14.7
104.0,17.2
105.0,13.6
106.0,-7.9
107.0,7.9
108.0,12.0
109.0,14.2
110.0,14.1
111.0,16.7
112.0,9.8
113.0,10.8
114.0,18.8
115.0,-2.9
116.0,15.1
117.0,11.5
118.0,2.9
119.0,16.5
120.0,11.4
121.0,5.2
122.0,14.3
123.0,21.0
124.0,20.7
125.0,0.2
126.0,11.9
127.0,2.1
128.0,14.3
129.0,15.7
130.0,21.1
131.0,16.7
132.0,24.6
133.0,8.3
134.0,2.5
135.0,2.8
136.0,8.0
137.0,20.9
138.0,12.2
139.0,22.5
140.0,28.3
141.0,18.5
142.0,-4.1
143.0,19.8
144.0,19.3
145.0,9.2
146.0,5.0
147.0,14.6
148.0,15.8
149.0,11.0
150.0,19.2
151.0,12.6
152.0,15.3
153.0,14.4
154.0,18.2
155.0,2.1
156.0,7.6
157.0,14.7
158.0,29.9
159.0,18.2
160.0,18.0
161.0,22.2
162.0,20.1
163.0,19.5
164.0,23.7
165.0,19.3
166.0,10.8
167.0,18.5
168.0,10.7
169.0,3.4
170.0,8.1
171.0,-11.6
172.0,20.9
173.0,12.6
174.0,16.9
175.0,16.6
176.0,12.1
177.0,7.9
178.0,16.6
179.0,7.5
180.0,24.1
181.0,-0.8
182.0,13.4
183.0,9.3
184.0,7.6
185.0,13.5
186.0,22.3
187.0,20.3
188.0,7.4
189.0,19.1
190.0,10.8
191.0,13.6
192.0,26.3
193.0,21.6
194.0,7.8
195.0,14.9
196.0,17.7
197.0,9.7
198.0,6.5
199.0,6.6
200.0,23.8
201.0,27.8
202.0,28.0
203.0,27.9
204.0,15.9
205.0,21.7
206.0,13.6
207.0,12.5
